Sales Person,Geography,Product,Date,Sales,Boxes
Dotty Strutley,Canada  ,Caramel Stuffed Bars,11-10-2023,"$7,403 ",396
Dotty Strutley,Canada   ,50% Dark Bites,18-08-2023,"$5,229 ",94
Kaine Padly,India ,99% Dark & Pure,18-10-2023,"$6,734 ",49
Oby Sorrel,Canada,99% Dark & Pure,15-08-2023,"$5,362 ",178
Wilone O'Kielt,India,Drinking Coco,22-06-2023,"$7,767 ",708
Van Tuxwell,India   ,White Choc,16-10-2023,"$3,854 ",283
Rafaelita Blaksland,Australia ,Eclairs,17-02-2023,"$3,222 ",162
Roddy Speechley,India ,Orange Choco,14-02-2024,$950 ,103
Jan Morforth,UK,After Nines,05-09-2023,"$14,252 ",774
Curtice Advani,UK,85% Dark Bars,29-02-2024,"$7,850 ",700
Curtice Advani,Canada  ,Orange Choco,03-01-2024,"$6,701 ",327
Husein Augar,UK  ,70% Dark Bites,25-05-2023,"$9,126 ",1027
Mallorie Waber,Canada  ,Manuka Honey Choco,23-01-2024,$869 ,299
Beverie Moffet,USA   ,Orange Choco,01-02-2023,"$10,321 ",882
Jan Morforth,UK,Raspberry Choco,31-10-2023,"$1,397 ",881
Dennison Crosswaite,Australia,Manuka Honey Choco,15-02-2024,"$3,515 ",295
Kelci Walkden,USA   ,Orange Choco,28-11-2023,"$5,704 ",279
Barr Faughny,New Zealand   ,Caramel Stuffed Bars,08-02-2023,"$3,634 ",56
Barr Faughny,India  ,After Nines,14-08-2023,"$4,849 ",183
Mallorie Waber,Canada,Baker's Choco Chips,11-12-2023,"$7,475 ",91
Kaine Padly,USA,Eclairs,24-02-2023,"$2,648 ",287
Kaine Padly,New Zealand ,Smooth Silky Salty,17-03-2023,"$12,762 ",45
Beverie Moffet,Australia   ,White Choc,29-01-2024,"$3,688 ",597
Beverie Moffet,Australia   ,Raspberry Choco,15-02-2023,"$3,530 ",562
Gunar Cockshoot,Canada  ,99% Dark & Pure,24-01-2024,"$8,046 ",348
Rafaelita Blaksland,USA ,Orange Choco,06-02-2024,"$4,397 ",528
Jan Morforth,New Zealand,Almond Choco,01-06-2023,"$6,361 ",969
Gunar Cockshoot,USA   ,Baker's Choco Chips,13-02-2024,"$9,185 ",151
Van Tuxwell,Australia ,Mint Chip Choco,04-01-2024,"$7,558 ",98
Wilone O'Kielt,UK   ,Caramel Stuffed Bars,12-10-2023,"$3,575 ",570
Oby Sorrel,India,Milk Bars,21-04-2023,"$4,183 ",147
Madelene Upcott,Australia   ,Drinking Coco,28-09-2023,"$4,455 ",362
Camilla Castle,UK  ,Organic Choco Syrup,04-07-2023,"$10,463 ",614
Oby Sorrel,India  ,Eclairs,31-07-2023,"$3,150 ",161
Gunar Cockshoot,UK,After Nines,03-04-2023,"$8,012 ",455
Gigi Bohling,USA,Drinking Coco,21-07-2023,"$7,013 ",392
Wilone O'Kielt,UK,Raspberry Choco,17-03-2023,$279 ,149
Madelene Upcott,Australia,White Choc,15-09-2023,"$8,372 ",58
Brien Boise,USA   ,70% Dark Bites,20-07-2023,$376 ,52
Gunar Cockshoot,Canada ,After Nines,10-04-2023,"$11,558 ",87
Dotty Strutley,Canada   ,After Nines,04-04-2023,"$12,942 ",7
Rafaelita Blaksland,Canada ,Manuka Honey Choco,31-05-2023,"$11,495 ",149
Dotty Strutley,UK  ,Caramel Stuffed Bars,15-09-2023,$374 ,1722
Van Tuxwell,New Zealand   ,After Nines,29-09-2023,"$6,334 ",286
Karlen McCaffrey,UK,Smooth Silky Salty,15-03-2023,"$8,190 ",595
Dotty Strutley,Australia ,Orange Choco,08-02-2024,"$3,373 ",326
Gigi Bohling,New Zealand ,Spicy Special Slims,28-02-2024,"$4,235 ",47
Husein Augar,USA ,Mint Chip Choco,15-12-2023,"$4,226 ",14
Van Tuxwell,Australia   ,85% Dark Bars,21-02-2023,"$5,787 ",255
Brien Boise,Canada,Milk Bars,03-04-2023,"$2,738 ",719
Husein Augar,USA ,99% Dark & Pure,04-07-2023,"$11,063 ",227
Oby Sorrel,Australia,Baker's Choco Chips,25-07-2023,"$6,849 ",28
Gunar Cockshoot,Canada ,Caramel Stuffed Bars,04-12-2023,"$3,116 ",914
Kaine Padly,Australia   ,After Nines,01-08-2023,"$3,692 ",240
Dennison Crosswaite,Australia   ,Eclairs,14-12-2023,$149 ,461
Husein Augar,Australia  ,Milk Bars,10-11-2023,"$7,724 ",73
Camilla Castle,UK,Manuka Honey Choco,19-10-2023,"$4,408 ",482
Camilla Castle,USA   ,99% Dark & Pure,20-09-2023,"$8,246 ",280
Van Tuxwell,USA ,After Nines,05-06-2023,"$4,149 ",469
Gigi Bohling,UK  ,99% Dark & Pure,10-05-2023,"$13,262 ",406
Gunar Cockshoot,India   ,Drinking Coco,15-11-2023,"$5,452 ",916
Dotty Strutley,Australia  ,Fruit & Nut Bars,04-07-2023,"$8,152 ",212
Camilla Castle,Canada   ,Raspberry Choco,23-11-2023,"$3,499 ",345
Van Tuxwell,Australia   ,White Choc,18-07-2023,"$6,215 ",116
Mallorie Waber,USA  ,Peanut Butter Cubes,12-06-2023,"$5,558 ",65
Dennison Crosswaite,New Zealand,Raspberry Choco,08-06-2023,"$9,954 ",295
Oby Sorrel,Canada   ,Eclairs,02-05-2023,$565 ,1151
Rafaelita Blaksland,Australia  ,Caramel Stuffed Bars,21-02-2024,"$18,059 ",649
Karlen McCaffrey,New Zealand   ,Organic Choco Syrup,25-07-2023,"$3,413 ",370
Marney O'Breen,USA  ,Manuka Honey Choco,06-04-2023,"$4,691 ",98
Kaine Padly,USA,White Choc,30-10-2023,"$5,324 ",440
Barr Faughny,Canada   ,White Choc,30-11-2023,"$5,897 ",450
Ches Bonnell,Australia   ,Spicy Special Slims,29-11-2023,"$3,393 ",261
Gunar Cockshoot,New Zealand   ,Manuka Honey Choco,02-10-2023,"$15,021 ",13
Kelci Walkden,Australia ,White Choc,04-12-2023,"$3,159 ",107
Ches Bonnell,India  ,Eclairs,26-02-2024,"$1,762 ",131
Barr Faughny,Australia ,Baker's Choco Chips,03-01-2024,"$6,217 ",210
Dotty Strutley,New Zealand  ,Almond Choco,31-08-2023,"$1,325 ",322
Madelene Upcott,UK,Orange Choco,06-09-2023,"$13,174 ",239
Dotty Strutley,India ,Raspberry Choco,16-08-2023,$108 ,140
Husein Augar,New Zealand ,Raspberry Choco,10-03-2023,"$7,263 ",1510
Kaine Padly,UK,Orange Choco,14-03-2023,"$5,753 ",747
Ches Bonnell,Canada,70% Dark Bites,27-04-2023,"$4,651 ",651
Kelci Walkden,UK  ,Drinking Coco,12-05-2023,"$4,410 ",1070
Dotty Strutley,India ,99% Dark & Pure,04-01-2024,"$4,750 ",141
Karlen McCaffrey,Australia   ,Mint Chip Choco,25-05-2023,"$3,510 ",680
Camilla Castle,Canada,Almond Choco,11-05-2023,"$7,594 ",953
Andria Kimpton,USA ,Milk Bars,14-08-2023,"$4,050 ",118
Rafaelita Blaksland,India ,Manuka Honey Choco,25-07-2023,"$14,328 ",8
Husein Augar,New Zealand   ,Orange Choco,26-04-2023,"$8,714 ",147
Gunar Cockshoot,UK   ,Almond Choco,26-12-2023,"$3,346 ",339
Brien Boise,Canada ,Eclairs,02-02-2024,"$6,671 ",1345
Roddy Speechley,Australia,Fruit & Nut Bars,31-01-2024,"$2,588 ",600
Kelci Walkden,UK ,Raspberry Choco,26-12-2023,"$15,543 ",930
Camilla Castle,Australia,99% Dark & Pure,03-11-2023,"$7,274 ",109
Barr Faughny,Australia   ,Almond Choco,18-10-2023,"$9,061 ",754
Wilone O'Kielt,Canada ,Caramel Stuffed Bars,08-09-2023,"$3,643 ",176
Kaine Padly,Australia   ,Eclairs,27-02-2024,"$2,261 ",626
Mallorie Waber,Australia,Spicy Special Slims,06-11-2023,"$2,907 ",459
Gunar Cockshoot,India ,99% Dark & Pure,27-12-2023,"$2,536 ",192
Husein Augar,USA   ,Drinking Coco,20-02-2024,"$4,901 ",452
Ches Bonnell,Australia ,Manuka Honey Choco,29-03-2023,"$1,784 ",56
Karlen McCaffrey,UK   ,Spicy Special Slims,11-01-2024,"$5,774 ",679
Beverie Moffet,Australia  ,Baker's Choco Chips,18-01-2024,"$1,901 ",710
Kaine Padly,New Zealand,Drinking Coco,17-03-2023,"$5,254 ",30
Ches Bonnell,UK  ,Orange Choco,22-09-2023,"$9,252 ",438
Kelci Walkden,UK  ,Milk Bars,14-09-2023,$50 ,171
Roddy Speechley,Canada   ,After Nines,23-02-2023,"$9,824 ",41
Oby Sorrel,USA ,White Choc,04-12-2023,"$3,949 ",835
Jehu Rudeforth,Canada  ,Spicy Special Slims,08-03-2023,"$3,317 ",408
Ches Bonnell,Canada ,Organic Choco Syrup,10-10-2023,"$11,081 ",95
Jehu Rudeforth,UK,Choco Coated Almonds,22-11-2023,$65 ,362
Ches Bonnell,New Zealand,85% Dark Bars,19-02-2024,"$1,433 ",110
Oby Sorrel,Canada ,White Choc,21-06-2023,"$12,366 ",264
Ches Bonnell,USA ,Organic Choco Syrup,15-11-2023,"$11,284 ",910
Wilone O'Kielt,New Zealand   ,99% Dark & Pure,20-09-2023,"$9,266 ",454
Andria Kimpton,USA   ,Mint Chip Choco,09-10-2023,"$6,030 ",150
Roddy Speechley,USA ,Milk Bars,02-02-2024,"$11,500 ",382
Brien Boise,UK  ,White Choc,25-01-2024,"$3,130 ",206
Van Tuxwell,USA,Orange Choco,04-09-2023,"$5,999 ",1160
Barr Faughny,India   ,Orange Choco,14-07-2023,"$5,501 ",51
Kaine Padly,Canada   ,70% Dark Bites,17-04-2023,"$1,037 ",394
Ches Bonnell,New Zealand   ,Drinking Coco,31-03-2023,"$5,409 ",123
Kelci Walkden,Australia  ,Mint Chip Choco,24-10-2023,"$5,828 ",346
Dennison Crosswaite,Canada   ,Manuka Honey Choco,05-02-2024,"$4,246 ",496
Kelci Walkden,New Zealand  ,Mint Chip Choco,21-04-2023,$907 ,259
Wilone O'Kielt,USA  ,Spicy Special Slims,07-12-2023,"$9,171 ",238
Kelci Walkden,Canada ,Fruit & Nut Bars,23-08-2023,"$2,734 ",868
Jehu Rudeforth,New Zealand   ,Eclairs,11-12-2023,"$1,184 ",137
Gunar Cockshoot,UK  ,Eclairs,13-10-2023,"$5,591 ",699
Gunar Cockshoot,India ,Manuka Honey Choco,27-04-2023,"$11,336 ",398
Oby Sorrel,USA ,Caramel Stuffed Bars,04-09-2023,"$4,199 ",1308
Kelci Walkden,New Zealand   ,Spicy Special Slims,15-05-2023,"$8,442 ",40
Andria Kimpton,New Zealand  ,Peanut Butter Cubes,12-10-2023,"$7,551 ",423
Camilla Castle,USA ,White Choc,07-06-2023,"$10,323 ",48
Jan Morforth,UK ,Milk Bars,05-04-2023,"$3,866 ",8
Wilone O'Kielt,New Zealand ,70% Dark Bites,25-05-2023,"$1,832 ",76
Van Tuxwell,Australia  ,Caramel Stuffed Bars,06-02-2023,"$15,581 ",406
Barr Faughny,India   ,Manuka Honey Choco,08-09-2023,"$11,714 ",79
Barr Faughny,Canada ,Peanut Butter Cubes,11-07-2023,"$8,503 ",254
Gunar Cockshoot,India   ,Fruit & Nut Bars,31-01-2024,"$3,533 ",172
Barr Faughny,USA,Raspberry Choco,20-07-2023,"$13,358 ",808
Husein Augar,USA,Organic Choco Syrup,05-05-2023,"$7,587 ",12
Husein Augar,Canada   ,99% Dark & Pure,05-10-2023,"$5,524 ",75
Dennison Crosswaite,Australia  ,After Nines,14-11-2023,"$1,706 ",53
Wilone O'Kielt,Canada   ,70% Dark Bites,01-06-2023,"$9,180 ",232
Brien Boise,New Zealand,Raspberry Choco,11-10-2023,$227 ,301
Camilla Castle,UK  ,85% Dark Bars,07-07-2023,$596 ,572
Roddy Speechley,New Zealand,Almond Choco,19-01-2024,"$10,285 ",478
Curtice Advani,USA  ,Manuka Honey Choco,29-01-2024,"$6,660 ",175
Barr Faughny,Canada   ,Caramel Stuffed Bars,22-02-2023,"$1,895 ",1335
Barr Faughny,Australia,Manuka Honey Choco,17-04-2023,"$14,099 ",518
Roddy Speechley,Australia   ,Drinking Coco,06-10-2023,"$3,762 ",418
Andria Kimpton,USA  ,Organic Choco Syrup,21-02-2023,"$2,192 ",68
Roddy Speechley,UK   ,Almond Choco,31-10-2023,"$7,214 ",38
Dotty Strutley,New Zealand ,99% Dark & Pure,17-07-2023,"$4,599 ",198
Jan Morforth,India ,After Nines,17-11-2023,"$7,526 ",252
Dennison Crosswaite,Canada ,70% Dark Bites,26-04-2023,"$1,481 ",190
Marney O'Breen,Australia ,Smooth Silky Salty,19-06-2023,"$12,974 ",79
Gunar Cockshoot,Australia  ,Choco Coated Almonds,01-02-2024,"$9,331 ",76
Rafaelita Blaksland,India ,Eclairs,02-01-2024,"$7,227 ",210
Dennison Crosswaite,USA ,Almond Choco,01-09-2023,"$2,115 ",146
Van Tuxwell,USA   ,70% Dark Bites,20-12-2023,"$2,972 ",446
Jehu Rudeforth,USA ,Drinking Coco,17-07-2023,"$5,792 ",79
Jehu Rudeforth,Canada ,Caramel Stuffed Bars,20-03-2023,"$7,731 ",274
Husein Augar,India ,After Nines,28-02-2024,"$2,693 ",441
Andria Kimpton,UK  ,Eclairs,01-05-2023,"$1,100 ",866
Rafaelita Blaksland,Australia  ,Peanut Butter Cubes,15-03-2023,"$2,333 ",200
Beverie Moffet,India ,Milk Bars,09-08-2023,"$7,484 ",41
Oby Sorrel,New Zealand  ,Choco Coated Almonds,02-06-2023,"$3,823 ",113
Jan Morforth,India ,Organic Choco Syrup,01-09-2023,"$4,304 ",345
Karlen McCaffrey,New Zealand   ,Milk Bars,12-02-2024,"$3,044 ",480
Barr Faughny,New Zealand  ,After Nines,21-11-2023,"$4,628 ",321
Beverie Moffet,New Zealand ,Orange Choco,12-10-2023,"$2,736 ",271
Van Tuxwell,USA,Fruit & Nut Bars,30-05-2023,"$3,236 ",133
Marney O'Breen,USA,White Choc,02-02-2024,"$5,686 ",208
Van Tuxwell,India,Manuka Honey Choco,14-07-2023,"$6,635 ",193
Rafaelita Blaksland,Canada  ,85% Dark Bars,15-12-2023,$455 ,168
Van Tuxwell,New Zealand,Mint Chip Choco,08-02-2023,"$5,540 ",75
Husein Augar,UK   ,Manuka Honey Choco,23-01-2024,"$4,925 ",313
Madelene Upcott,USA,Baker's Choco Chips,09-05-2023,"$8,825 ",1371
Rafaelita Blaksland,USA   ,85% Dark Bars,09-11-2023,"$9,351 ",237
Jehu Rudeforth,India   ,Eclairs,29-03-2023,"$4,894 ",82
Kelci Walkden,India,50% Dark Bites,05-05-2023,"$4,649 ",264
Gigi Bohling,USA,50% Dark Bites,25-07-2023,"$5,708 ",150
Wilone O'Kielt,Canada ,Eclairs,24-04-2023,"$3,159 ",21
Kaine Padly,USA  ,Choco Coated Almonds,24-03-2023,"$5,902 ",361
Kaine Padly,UK ,After Nines,16-02-2024,"$8,969 ",288
Brien Boise,UK ,85% Dark Bars,15-06-2023,"$7,306 ",184
Beverie Moffet,Canada   ,85% Dark Bars,05-02-2024,"$7,180 ",125
Dotty Strutley,UK ,Milk Bars,21-02-2024,"$15,415 ",473
Jan Morforth,India,Milk Bars,20-07-2023,"$10,508 ",62
Andria Kimpton,Australia ,50% Dark Bites,15-02-2024,$792 ,303
Kelci Walkden,UK  ,99% Dark & Pure,15-06-2023,"$8,417 ",224
Van Tuxwell,Australia,Eclairs,06-04-2023,"$4,847 ",474
Roddy Speechley,Australia  ,Orange Choco,05-02-2024,"$16,184 ",401
Dotty Strutley,India ,Eclairs,20-10-2023,$891 ,1245
Rafaelita Blaksland,New Zealand   ,70% Dark Bites,24-07-2023,"$3,704 ",117
Madelene Upcott,Canada   ,Baker's Choco Chips,18-01-2024,"$1,694 ",542
Oby Sorrel,USA   ,50% Dark Bites,24-03-2023,"$5,103 ",33
Madelene Upcott,Canada  ,Peanut Butter Cubes,14-04-2023,"$9,929 ",26
Rafaelita Blaksland,USA,Mint Chip Choco,09-02-2023,"$2,248 ",434
Ches Bonnell,UK   ,Peanut Butter Cubes,17-11-2023,"$9,187 ",125
Husein Augar,UK,Fruit & Nut Bars,13-11-2023,"$13,669 ",104
Camilla Castle,Australia  ,Spicy Special Slims,14-09-2023,"$8,897 ",137
Husein Augar,USA  ,Smooth Silky Salty,02-02-2024,"$16,657 ",156
Brien Boise,UK  ,Choco Coated Almonds,27-04-2023,"$2,489 ",130
Oby Sorrel,USA,Peanut Butter Cubes,08-02-2023,"$6,732 ",126
Roddy Speechley,USA   ,Raspberry Choco,06-02-2023,"$17,179 ",161
Rafaelita Blaksland,UK  ,Eclairs,15-08-2023,"$4,266 ",467
Husein Augar,USA,Raspberry Choco,22-01-2024,$151 ,266
Andria Kimpton,UK ,Fruit & Nut Bars,10-11-2023,"$8,624 ",1034
Andria Kimpton,Canada   ,Eclairs,24-08-2023,$576 ,356
Andria Kimpton,Canada   ,Baker's Choco Chips,06-11-2023,$371 ,651
Kaine Padly,USA,99% Dark & Pure,18-01-2024,"$6,878 ",230
Kaine Padly,UK   ,Eclairs,20-02-2023,"$2,396 ",488
Marney O'Breen,UK   ,Choco Coated Almonds,23-08-2023,$983 ,290
Beverie Moffet,New Zealand,Choco Coated Almonds,12-10-2023,"$3,942 ",138
Dennison Crosswaite,New Zealand   ,Drinking Coco,27-06-2023,"$6,046 ",1535
Jan Morforth,Canada  ,Mint Chip Choco,29-03-2023,"$3,609 ",331
Madelene Upcott,USA  ,Caramel Stuffed Bars,26-07-2023,"$4,039 ",217
Van Tuxwell,UK  ,70% Dark Bites,06-02-2024,"$4,302 ",445
Andria Kimpton,Canada  ,Manuka Honey Choco,21-02-2023,"$3,236 ",191
Rafaelita Blaksland,Australia  ,Drinking Coco,19-05-2023,"$4,907 ",746
Madelene Upcott,Australia ,99% Dark & Pure,20-02-2023,"$7,630 ",150
Wilone O'Kielt,USA  ,70% Dark Bites,13-09-2023,"$3,542 ",628
Kelci Walkden,Canada,Raspberry Choco,28-07-2023,"$1,748 ",60
Mallorie Waber,Australia ,Orange Choco,21-04-2023,"$2,171 ",1166
Jehu Rudeforth,India ,Mint Chip Choco,21-06-2023,"$4,307 ",399
Ches Bonnell,Canada  ,85% Dark Bars,01-05-2023,"$6,125 ",797
Jehu Rudeforth,India   ,Organic Choco Syrup,12-06-2023,"$8,100 ",268
Kelci Walkden,Canada   ,Drinking Coco,24-04-2023,"$4,032 ",16
Brien Boise,Canada ,Raspberry Choco,03-01-2024,"$2,772 ",626
Camilla Castle,India  ,50% Dark Bites,26-06-2023,"$2,880 ",29
Jan Morforth,USA   ,Caramel Stuffed Bars,28-08-2023,"$4,194 ",588
Jan Morforth,New Zealand,99% Dark & Pure,04-07-2023,"$7,144 ",328
Wilone O'Kielt,New Zealand ,Mint Chip Choco,14-12-2023,"$7,889 ",213
Ches Bonnell,Canada,99% Dark & Pure,29-08-2023,$241 ,613
Karlen McCaffrey,Canada ,Drinking Coco,19-09-2023,"$4,302 ",126
Brien Boise,UK ,After Nines,21-02-2023,"$5,803 ",114
Madelene Upcott,New Zealand ,50% Dark Bites,15-05-2023,"$2,480 ",481
Oby Sorrel,India   ,85% Dark Bars,15-02-2023,"$8,818 ",431
Gigi Bohling,India  ,Almond Choco,22-02-2023,"$2,144 ",776
Rafaelita Blaksland,New Zealand   ,Almond Choco,03-10-2023,"$6,575 ",227
Dennison Crosswaite,Australia   ,Fruit & Nut Bars,01-08-2023,"$13,867 ",289
Karlen McCaffrey,Australia,After Nines,12-04-2023,"$13,637 ",27
Curtice Advani,New Zealand ,Raspberry Choco,07-07-2023,"$10,073 ",308
Oby Sorrel,USA   ,Orange Choco,28-12-2023,"$9,295 ",539
Marney O'Breen,New Zealand,Almond Choco,10-04-2023,"$9,173 ",47
Camilla Castle,India ,Mint Chip Choco,26-02-2024,$810 ,223
Van Tuxwell,UK,Baker's Choco Chips,12-02-2024,"$10,895 ",118
Ches Bonnell,Australia ,Choco Coated Almonds,21-04-2023,"$1,958 ",208
Gunar Cockshoot,USA,Fruit & Nut Bars,29-05-2023,"$12,733 ",340
Kelci Walkden,India   ,Choco Coated Almonds,17-11-2023,"$1,645 ",671
Brien Boise,Canada ,After Nines,25-08-2023,"$8,186 ",487
Camilla Castle,Canada ,Fruit & Nut Bars,11-08-2023,"$5,456 ",1474
Barr Faughny,UK  ,Baker's Choco Chips,04-12-2023,$947 ,7
Brien Boise,India,Baker's Choco Chips,04-05-2023,"$6,530 ",262
Beverie Moffet,USA ,85% Dark Bars,12-06-2023,"$9,387 ",345
Dennison Crosswaite,New Zealand,70% Dark Bites,25-07-2023,"$5,254 ",1081
Ches Bonnell,India   ,Baker's Choco Chips,19-06-2023,"$3,272 ",68
Ches Bonnell,UK ,Manuka Honey Choco,24-01-2024,"$7,756 ",233
Dennison Crosswaite,Australia,Smooth Silky Salty,29-08-2023,"$4,064 ",100
Roddy Speechley,Australia   ,Smooth Silky Salty,23-06-2023,"$3,940 ",480
Curtice Advani,Australia   ,99% Dark & Pure,14-02-2023,"$9,626 ",100
Curtice Advani,USA  ,Choco Coated Almonds,06-06-2023,"$4,646 ",241
Rafaelita Blaksland,Australia  ,Choco Coated Almonds,02-02-2024,"$3,326 ",24
Andria Kimpton,USA  ,Orange Choco,14-02-2023,"$13,122 ",207
Marney O'Breen,New Zealand,70% Dark Bites,01-09-2023,"$1,690 ",951
Kaine Padly,Australia ,Fruit & Nut Bars,20-07-2023,"$3,845 ",52
Oby Sorrel,UK  ,Raspberry Choco,09-05-2023,$943 ,83
Husein Augar,Canada ,Raspberry Choco,16-02-2024,"$5,054 ",1254
Gunar Cockshoot,UK,Spicy Special Slims,25-10-2023,"$1,040 ",66
Barr Faughny,Australia   ,Mint Chip Choco,09-11-2023,"$7,718 ",205
Madelene Upcott,New Zealand  ,85% Dark Bars,22-08-2023,"$4,471 ",281
Curtice Advani,USA  ,Orange Choco,19-05-2023,"$12,656 ",250
Dotty Strutley,UK ,Mint Chip Choco,12-06-2023,"$1,613 ",131
Beverie Moffet,USA   ,70% Dark Bites,05-02-2024,"$2,963 ",71
Wilone O'Kielt,Australia,After Nines,09-03-2023,"$8,100 ",508
Karlen McCaffrey,Canada  ,99% Dark & Pure,14-06-2023,"$5,717 ",383
Beverie Moffet,India,85% Dark Bars,01-11-2023,"$2,588 ",22
Camilla Castle,USA,Almond Choco,25-08-2023,"$10,267 ",606
Madelene Upcott,New Zealand,Milk Bars,25-12-2023,"$4,271 ",305
Gunar Cockshoot,UK   ,White Choc,17-11-2023,"$4,919 ",138
Beverie Moffet,Australia,After Nines,19-07-2023,"$9,434 ",384
Rafaelita Blaksland,India,70% Dark Bites,19-04-2023,"$3,652 ",336
Madelene Upcott,Australia ,Orange Choco,10-03-2023,"$4,307 ",259
Jehu Rudeforth,India,Fruit & Nut Bars,01-03-2023,"$8,791 ",348
Gigi Bohling,Canada,Drinking Coco,10-07-2023,"$5,216 ",160
Madelene Upcott,USA   ,Spicy Special Slims,02-01-2024,"$10,946 ",106
Husein Augar,India,Mint Chip Choco,29-05-2023,"$3,008 ",296
Marney O'Breen,UK,Spicy Special Slims,12-06-2023,"$6,935 ",23
Ches Bonnell,UK  ,Choco Coated Almonds,28-06-2023,"$2,768 ",168
Dotty Strutley,Australia ,Caramel Stuffed Bars,26-09-2023,"$5,373 ",361
Ches Bonnell,India ,99% Dark & Pure,26-10-2023,$61 ,19
Husein Augar,India   ,50% Dark Bites,12-12-2023,"$6,210 ",104
Madelene Upcott,UK  ,50% Dark Bites,27-07-2023,"$2,529 ",410
Rafaelita Blaksland,USA ,Eclairs,19-01-2024,"$6,111 ",531
Gigi Bohling,Canada,50% Dark Bites,03-02-2023,"$3,089 ",331
Kelci Walkden,New Zealand,Caramel Stuffed Bars,03-11-2023,"$1,460 ",492
Jehu Rudeforth,India  ,Spicy Special Slims,22-12-2023,"$6,836 ",267
Van Tuxwell,UK   ,99% Dark & Pure,01-02-2023,"$9,236 ",387
Ches Bonnell,USA   ,99% Dark & Pure,11-10-2023,"$2,808 ",48
Mallorie Waber,Canada   ,Eclairs,25-04-2023,"$5,497 ",342
Dennison Crosswaite,Canada   ,99% Dark & Pure,08-03-2023,"$7,646 ",61
Karlen McCaffrey,UK  ,Raspberry Choco,27-02-2024,"$1,499 ",1039
Husein Augar,UK ,Peanut Butter Cubes,17-07-2023,"$4,349 ",210
Kelci Walkden,New Zealand  ,99% Dark & Pure,28-11-2023,"$10,289 ",249
Jehu Rudeforth,UK,White Choc,28-06-2023,"$8,255 ",199
Rafaelita Blaksland,New Zealand  ,Spicy Special Slims,10-03-2023,"$7,173 ",160
Gigi Bohling,Canada,White Choc,31-03-2023,"$5,780 ",238
Barr Faughny,Australia,Orange Choco,22-08-2023,"$4,979 ",13
Wilone O'Kielt,UK,Choco Coated Almonds,16-05-2023,"$2,084 ",74
Barr Faughny,Canada ,After Nines,30-10-2023,"$4,849 ",534
Marney O'Breen,Canada  ,White Choc,14-09-2023,"$1,611 ",875
Barr Faughny,UK,Peanut Butter Cubes,15-11-2023,"$7,281 ",60
Jehu Rudeforth,Australia,White Choc,15-06-2023,"$3,773 ",406
Camilla Castle,Australia ,White Choc,31-03-2023,"$2,295 ",132
Camilla Castle,Australia  ,70% Dark Bites,09-11-2023,"$6,417 ",255
Husein Augar,India ,70% Dark Bites,17-10-2023,"$3,240 ",913
Dotty Strutley,New Zealand  ,Organic Choco Syrup,01-05-2023,"$13,489 ",664
Gunar Cockshoot,UK ,Caramel Stuffed Bars,16-05-2023,"$5,931 ",335
Wilone O'Kielt,India  ,Eclairs,12-12-2023,"$5,378 ",379
Marney O'Breen,Canada,Caramel Stuffed Bars,10-07-2023,"$7,547 ",147
Gunar Cockshoot,Australia   ,50% Dark Bites,29-11-2023,"$1,157 ",305
Mallorie Waber,Canada   ,70% Dark Bites,12-10-2023,"$8,755 ",1153
Marney O'Breen,Australia,Baker's Choco Chips,23-02-2024,"$5,839 ",224
Jehu Rudeforth,Australia,Peanut Butter Cubes,26-04-2023,"$5,337 ",282
Gigi Bohling,Canada ,85% Dark Bars,11-07-2023,"$3,591 ",78
Gigi Bohling,Canada  ,Caramel Stuffed Bars,23-01-2024,"$11,349 ",57
Gunar Cockshoot,USA ,Manuka Honey Choco,04-08-2023,"$8,363 ",171
Kaine Padly,Canada   ,Peanut Butter Cubes,12-10-2023,"$7,839 ",386
Dotty Strutley,New Zealand  ,Fruit & Nut Bars,21-08-2023,"$11,383 ",268
Marney O'Breen,New Zealand   ,Choco Coated Almonds,24-08-2023,"$3,292 ",271
Camilla Castle,UK   ,99% Dark & Pure,10-11-2023,"$8,303 ",138
Ches Bonnell,New Zealand ,Fruit & Nut Bars,18-08-2023,"$3,688 ",476
Beverie Moffet,UK,50% Dark Bites,25-08-2023,"$5,022 ",255
Karlen McCaffrey,USA,Mint Chip Choco,02-06-2023,"$2,063 ",233
Mallorie Waber,Canada   ,Spicy Special Slims,14-03-2023,"$4,471 ",555
Beverie Moffet,Australia  ,Milk Bars,10-07-2023,"$4,025 ",90
Curtice Advani,India ,Mint Chip Choco,12-02-2024,$27 ,84
Marney O'Breen,New Zealand  ,Smooth Silky Salty,10-05-2023,"$4,106 ",284
Gunar Cockshoot,Australia  ,White Choc,18-07-2023,"$5,699 ",486
Dennison Crosswaite,Australia,Choco Coated Almonds,10-04-2023,"$2,129 ",25
Brien Boise,UK,Almond Choco,05-12-2023,"$4,655 ",499
Jehu Rudeforth,Canada,Manuka Honey Choco,27-07-2023,"$9,392 ",44
Dotty Strutley,New Zealand ,Manuka Honey Choco,19-09-2023,"$4,345 ",247
Gigi Bohling,Australia,Fruit & Nut Bars,16-02-2023,"$6,134 ",750
Gunar Cockshoot,USA,50% Dark Bites,20-02-2023,"$8,026 ",193
